,O'NEILL,DANIEL,CARTER,HAMMOND,TEAL'C,JONAS,MITCHELL,LANDRY,BRA'TAC,Season,Episode
0,1656.0,1350.0,780.0,1035.0,187.0,0.0,0.0,0.0,0.0,1.0,1.0
1,895.0,273.0,236.0,762.0,474.0,0.0,0.0,0.0,0.0,1.0,2.0
2,388.0,476.0,607.0,0.0,92.0,0.0,0.0,0.0,0.0,1.0,3.0
3,690.0,602.0,221.0,421.0,352.0,0.0,0.0,0.0,0.0,1.0,4.0
4,572.0,552.0,546.0,0.0,234.0,0.0,0.0,0.0,0.0,1.0,5.0
5,616.0,369.0,811.0,185.0,95.0,0.0,0.0,0.0,0.0,1.0,6.0
6,1074.0,650.0,360.0,46.0,562.0,0.0,0.0,0.0,0.0,1.0,7.0
7,1026.0,521.0,734.0,114.0,239.0,0.0,0.0,0.0,0.0,1.0,8.0
8,523.0,684.0,409.0,85.0,426.0,0.0,0.0,0.0,0.0,1.0,9.0
9,528.0,1121.0,385.0,134.0,63.0,0.0,0.0,0.0,0.0,1.0,10.0
10,691.0,200.0,253.0,256.0,734.0,0.0,0.0,0.0,353.0,1.0,11.0
11,543.0,989.0,317.0,403.0,129.0,0.0,0.0,0.0,0.0,1.0,12.0
12,440.0,582.0,912.0,304.0,201.0,0.0,0.0,0.0,0.0,1.0,13.0
13,371.0,357.0,1033.0,218.0,154.0,0.0,0.0,0.0,0.0,1.0,14.0
14,944.0,983.0,215.0,247.0,551.0,0.0,0.0,0.0,0.0,1.0,15.0
15,317.0,569.0,770.0,610.0,69.0,0.0,0.0,0.0,0.0,1.0,16.0
16,647.0,575.0,1070.0,438.0,196.0,0.0,0.0,0.0,0.0,1.0,17.0
17,925.0,455.0,435.0,124.0,45.0,0.0,0.0,0.0,0.0,1.0,18.0
18,658.0,1428.0,670.0,263.0,145.0,0.0,0.0,0.0,0.0,1.0,19.0
19,669.0,753.0,451.0,433.0,292.0,0.0,0.0,0.0,0.0,1.0,20.0
20,577.0,362.0,455.0,375.0,382.0,0.0,0.0,0.0,0.0,1.0,21.0
21,522.0,211.0,190.0,511.0,185.0,0.0,0.0,0.0,513.0,2.0,1.0
22,610.0,742.0,669.0,312.0,339.0,0.0,0.0,0.0,0.0,2.0,2.0
23,656.0,396.0,537.0,379.0,102.0,0.0,0.0,0.0,0.0,2.0,3.0
24,777.0,543.0,441.0,278.0,238.0,0.0,0.0,0.0,0.0,2.0,4.0
25,409.0,1173.0,479.0,41.0,60.0,0.0,0.0,0.0,0.0,2.0,5.0
26,434.0,1033.0,570.0,64.0,301.0,0.0,0.0,0.0,0.0,2.0,6.0
27,427.0,643.0,1214.0,560.0,212.0,0.0,0.0,0.0,0.0,2.0,7.0
28,590.0,244.0,189.0,153.0,701.0,0.0,0.0,0.0,415.0,2.0,8.0
29,493.0,693.0,372.0,325.0,421.0,0.0,0.0,0.0,0.0,2.0,9.0
30,434.0,200.0,629.0,224.0,284.0,0.0,0.0,0.0,0.0,2.0,10.0
31,438.0,303.0,1055.0,184.0,316.0,0.0,0.0,0.0,0.0,2.0,11.0
32,413.0,255.0,702.0,211.0,153.0,0.0,0.0,0.0,0.0,2.0,12.0
33,486.0,548.0,629.0,447.0,217.0,0.0,0.0,0.0,0.0,2.0,13.0
34,779.0,392.0,769.0,877.0,159.0,0.0,0.0,0.0,0.0,2.0,14.0
35,592.0,28.0,1423.0,704.0,123.0,0.0,0.0,0.0,0.0,2.0,15.0
36,504.0,1238.0,829.0,420.0,192.0,0.0,0.0,0.0,0.0,2.0,16.0
37,466.0,591.0,584.0,394.0,303.0,0.0,0.0,0.0,0.0,2.0,17.0
38,658.0,1068.0,578.0,216.0,642.0,0.0,0.0,0.0,0.0,2.0,18.0
39,627.0,877.0,640.0,147.0,289.0,0.0,0.0,0.0,0.0,2.0,19.0
40,923.0,209.0,422.0,294.0,199.0,0.0,0.0,0.0,0.0,2.0,20.0
41,887.0,542.0,911.0,285.0,143.0,0.0,0.0,0.0,0.0,2.0,21.0
42,436.0,253.0,191.0,227.0,236.0,0.0,0.0,0.0,31.0,2.0,22.0
43,205.0,39.0,309.0,373.0,336.0,0.0,0.0,0.0,167.0,3.0,1.0
44,534.0,691.0,468.0,46.0,230.0,0.0,0.0,0.0,0.0,3.0,2.0
45,1135.0,598.0,304.0,489.0,322.0,0.0,0.0,0.0,0.0,3.0,3.0
46,511.0,1063.0,501.0,246.0,103.0,0.0,0.0,0.0,0.0,3.0,4.0
47,735.0,432.0,660.0,270.0,161.0,0.0,0.0,0.0,0.0,3.0,5.0
48,602.0,391.0,412.0,271.0,193.0,0.0,0.0,0.0,0.0,3.0,6.0
49,692.0,403.0,400.0,0.0,209.0,0.0,0.0,0.0,0.0,3.0,7.0
50,736.0,570.0,236.0,0.0,204.0,0.0,0.0,0.0,0.0,3.0,8.0
51,886.0,210.0,376.0,125.0,401.0,0.0,0.0,0.0,0.0,3.0,9.0
52,374.0,1037.0,169.0,79.0,243.0,0.0,0.0,0.0,0.0,3.0,10.0
53,348.0,963.0,545.0,80.0,92.0,0.0,0.0,0.0,0.0,3.0,11.0
54,502.0,280.0,597.0,26.0,89.0,0.0,0.0,0.0,0.0,3.0,12.0
55,406.0,203.0,381.0,0.0,237.0,0.0,0.0,0.0,0.0,3.0,13.0
56,525.0,171.0,643.0,125.0,210.0,0.0,0.0,0.0,0.0,3.0,14.0
